AuthorID,Author,Date,Content,Attachments,Reactions
"743528093574234113","thomas_._dp","2020-09-16T12:42:59.1620000+05:30","Use link send kar rha hu","",""
"456226577798135808","Deleted User","2020-09-16T12:46:49.2170000+05:30","Joined the server.","",""
"448726198789603328","en1gma07","2020-09-16T12:48:52.8130000+05:30","https://discord.gg/7adTS9v

Ye use karna jisko bhi invite karna hai toh, kisi ko bhi invite kar sakte ho","",""
"448726198789603328","en1gma07","2020-09-16T12:49:01.3000000+05:30","Pinned a message.","",""
"743528093574234113","thomas_._dp","2020-09-16T12:49:18.3720000+05:30","Kok","",""
"743528093574234113","thomas_._dp","2020-09-16T12:49:23.1810000+05:30","Ok*","",""
"270904126974590976","Dank Memer#5192","2020-09-16T12:57:46.6380000+05:30","Joined the server.","",""
"270904126974590976","Dank Memer#5192","2020-09-16T12:57:47.9220000+05:30","","",""
"448726198789603328","en1gma07","2020-09-16T13:02:07.7880000+05:30","Sirf meme wale channel mein chalega","","👍 (1)"
"356065937318871041","Aki#9694","2020-09-16T16:33:13.8780000+05:30","Joined the server.","",""
"356065937318871041","Aki#9694","2020-09-16T16:33:23.2330000+05:30","Greetings inhabitants of **Among Us**, my name is **Aki**, pleased to meet you! 🧞

The Botfather **Napster#0001** found me in the big, wide ~~internet~~ desert of Discordia, stuck in a lamp.
I offered him to _play a game_ and beat me...or die. Can you beat me too?
Think of any character or person, real or fictional, say `!aki start` to start playing, and I will read your mind!

Say `!aki help` for more information about me and settings, like changing my language or prefix.

Happy thonking! :thinkegg:
- _Aki & Napster#0001_","",""
"743528093574234113","thomas_._dp","2020-09-16T19:08:54.8510000+05:30","Aaj 9:45 PM Among us ????","",""
"743528093574234113","thomas_._dp","2020-09-16T19:16:23.4020000+05:30","Kal kitne baje khelna h ???","",""
"448726198789603328","en1gma07","2020-09-16T19:16:44.7750000+05:30","Batao bhai log","",""
"594440218044661760","arn4v9056","2020-09-16T19:20:42.3470000+05:30","Aaj nhi 9:45?","",""
"448726198789603328","en1gma07","2020-09-16T19:20:55.9490000+05:30","Koi aa nhi raha hai","",""
"743528093574234113","thomas_._dp","2020-09-16T19:21:02.8730000+05:30","I can play","",""
"594440218044661760","arn4v9056","2020-09-16T19:21:03.4600000+05:30","Ok","",""
"743528093574234113","thomas_._dp","2020-09-16T19:21:18.2500000+05:30","Are nahi mere server me h kuch log","",""
"448726198789603328","en1gma07","2020-09-16T19:21:38.6500000+05:30","Mai kal khelunga","",""
"743528093574234113","thomas_._dp","2020-09-16T19:22:00.3930000+05:30","Arnav bata bhi","",""
"755666449959223376","saarthak3402","2020-09-16T19:22:11.5900000+05:30","Mai aa sakta hu 9 45 ko","",""
"755666449959223376","saarthak3402","2020-09-16T19:22:16.5590000+05:30","Par aur koi h?","",""
"594440218044661760","arn4v9056","2020-09-16T19:22:39.7980000+05:30","> Arnav bata bhi
@Thomas Kya?","",""
"743528093574234113","thomas_._dp","2020-09-16T19:22:58.2330000+05:30","Will u come tonight","","👍 (1)"
"594440218044661760","arn4v9056","2020-09-16T19:23:17.8930000+05:30","Ok","",""
"594440218044661760","arn4v9056","2020-09-16T19:23:21.4930000+05:30","Aa jaunga","",""
"448726198789603328","en1gma07","2020-09-16T19:31:49.6360000+05:30","9:45?","",""
"448726198789603328","en1gma07","2020-09-16T19:31:54.8470000+05:30","Kitne log ho rhe hai","",""
"743528093574234113","thomas_._dp","2020-09-16T19:36:19.6760000+05:30","5 log toh h","",""
"448726198789603328","en1gma07","2020-09-16T19:36:30.3860000+05:30","Including me?","",""
"448726198789603328","en1gma07","2020-09-16T19:36:48.4260000+05:30","Aa jaunga vaise mai agar 5 log ho rahe hai toh","",""
"755666449959223376","saarthak3402","2020-09-16T19:36:48.7810000+05:30","Isko mila ke 6 log honge na?","",""
"743528093574234113","thomas_._dp","2020-09-16T19:39:43.7430000+05:30","Ha sarthak is right","",""
"448726198789603328","en1gma07","2020-09-16T19:39:53.9220000+05:30","Aa jaunga","",""
"755666449959223376","saarthak3402","2020-09-16T19:40:18.2070000+05:30","Op","",""
"743528093574234113","thomas_._dp","2020-09-16T19:40:37.6430000+05:30","Baki log","",""
"594440218044661760","arn4v9056","2020-09-16T21:25:50.4050000+05:30","> Baki log
@Thomas Bhandu aayega kya?","",""
"743528093574234113","thomas_._dp","2020-09-16T21:31:42.5180000+05:30","I don't know","",""
"743528093574234113","thomas_._dp","2020-09-16T21:31:50.6230000+05:30","He didn't attend school","",""
"743528093574234113","thomas_._dp","2020-09-16T21:32:12.8350000+05:30","And he's not even picking up my phone","",""
"594440218044661760","arn4v9056","2020-09-16T21:33:26.4670000+05:30","Ok","",""
"594440218044661760","arn4v9056","2020-09-16T21:33:45.4410000+05:30","Then how come 6?","",""
"594440218044661760","arn4v9056","2020-09-16T21:34:57.7170000+05:30","> Isko mila ke 6 log honge na?
@Saarthak ?","",""
"755666449959223376","saarthak3402","2020-09-16T21:36:00.4540000+05:30","Ha apan 6 log ho rhe h","",""
"594440218044661760","arn4v9056","2020-09-16T21:36:14.8910000+05:30","Apan 4","",""
"594440218044661760","arn4v9056","2020-09-16T21:36:21.0430000+05:30","Aur kon 2?","",""
"755666449959223376","saarthak3402","2020-09-16T21:36:44.6170000+05:30","Sunidhi aur 1 2 log aur","",""
"235088799074484224","Rythm#3722","2020-09-16T22:38:39.5500000+05:30","Joined the server.","",""
"235088799074484224","Rythm#3722","2020-09-16T22:38:39.6490000+05:30","**Thank you for adding me!** ✅
`-` My prefix here is `!`
`-` You can see a list of commands by typing `!help`
`-` You can change my prefix with `!settings prefix`
`-` If you need help, feel free to join our support server at **<https://rythmbot.co/support>**
**By having Rythm in your server and using Rythm, you agree to the following Terms of Service: <https://rythmbot.co/tos>**","",""
"448726198789603328","en1gma07","2020-09-17T14:21:16.4580000+05:30","Meri 6:30 tak class hai","",""
"448726198789603328","en1gma07","2020-09-17T14:21:29.9920000+05:30","Ya toh kal jaise raat mein khele?","","👍 (1)"
"594440218044661760","arn4v9056","2020-09-17T14:22:51.4520000+05:30","Ha chalega","",""
"743528093574234113","thomas_._dp","2020-09-17T14:27:06.3850000+05:30","Ok","",""
"743528093574234113","thomas_._dp","2020-09-17T14:27:17.0790000+05:30","Baki log ???","",""
"594440218044661760","arn4v9056","2020-09-17T15:21:09.8450000+05:30","Bahit log toh server hi join nhi kiye hai","",""
"594440218044661760","arn4v9056","2020-09-17T15:21:18.1430000+05:30","Bahut *","",""
"448726198789603328","en1gma07","2020-09-17T15:21:37.0320000+05:30","Vahi bhai unlog ko bolo na join karne ke liye","",""
"755431590544408616","pushpa6454","2020-09-17T18:39:53.0080000+05:30","Joined the server.","",""
"755431590544408616","pushpa6454","2020-09-17T18:41:28.4440000+05:30","All hail the great Olympians","",""
"448726198789603328","en1gma07","2020-09-17T18:44:37.5740000+05:30","Aw","",""
"492026929604460552","itzmanan","2020-09-17T19:01:00.9390000+05:30","Joined the server.","",""
"594440218044661760","arn4v9056","2020-09-17T19:04:38.3770000+05:30","Yo!","",""
"492026929604460552","itzmanan","2020-09-17T19:05:24.4210000+05:30","Yoyo","",""
"755431590544408616","pushpa6454","2020-09-17T19:08:52.4880000+05:30","Yoyoyoy","",""
"448726198789603328","en1gma07","2020-09-17T19:27:06.2410000+05:30","Bhandu music waala join kar","",""
"456226577798135808","Deleted User","2020-09-17T19:42:09.8530000+05:30","Joined the server.","",""
"201503408652419073","Octave#8315","2020-09-17T20:33:01.5440000+05:30","Joined the server.","",""
"611562834614026261","akshaj0706","2020-09-17T20:47:51.7650000+05:30","Mudit insaan","",""
"611562834614026261","akshaj0706","2020-09-17T20:48:28.2180000+05:30","Good song","",""
"456226577798135808","Deleted User","2020-09-17T20:48:48.8980000+05:30","Thanx agla sun","",""
"456226577798135808","Deleted User","2020-09-17T20:49:53.0310000+05:30","😂🤣🤣","",""
"755666449959223376","saarthak3402","2020-09-17T22:10:40.6360000+05:30","Meri awas aa rhi??","",""
"755666449959223376","saarthak3402","2020-09-17T22:10:48.7760000+05:30","Akshaj aur Manan ni aa rhe","",""
"456226577798135808","Deleted User","2020-09-17T22:10:55.6760000+05:30","OP","",""
"456226577798135808","Deleted User","2020-09-17T22:11:01.7970000+05:30","Manan to abhi aaya tha","",""
"755666449959223376","saarthak3402","2020-09-17T22:11:21.3840000+05:30","Vo par ni khelega","",""
"456226577798135808","Deleted User","2020-09-17T22:11:33.5300000+05:30","Ohk","",""
"743528093574234113","thomas_._dp","2020-09-17T22:11:56.6320000+05:30","Rwixqq","",""
"456226577798135808","Deleted User","2020-09-17T22:11:58.4680000+05:30","SJ ka net kharaab h","",""
"743528093574234113","thomas_._dp","2020-09-17T22:11:59.7920000+05:30","Code","",""
"456226577798135808","Deleted User","2020-09-17T22:12:08.8130000+05:30","Ye to bana bhi liya","",""
"456226577798135808","Deleted User","2020-09-17T22:12:20.0430000+05:30","Join krna h?","",""
"743528093574234113","thomas_._dp","2020-09-17T22:12:46.9360000+05:30","Ha join karo","",""
"743528093574234113","thomas_._dp","2020-09-17T22:12:51.1240000+05:30","Thomas","",""
"755666449959223376","saarthak3402","2020-09-17T22:12:59.9390000+05:30","Mai 2 min mae aa rha","",""
"456226577798135808","Deleted User","2020-09-17T22:12:59.9430000+05:30","A kaha gya sabji lene?","",""
"492026929604460552","itzmanan","2020-09-17T22:13:16.6060000+05:30","https://tenor.com/view/koi-sense-hai-is-baat-ki-koi-sense-hai-iss-baat-ki-the-laugh-gif-16900386","",""
"492026929604460552","itzmanan","2020-09-17T22:13:20.5580000+05:30","Naam ki*","",""
"456226577798135808","Deleted User","2020-09-17T22:13:28.8630000+05:30","Hume bhot lag rhi thi uss samay😂😂","",""
"456226577798135808","Deleted User","2020-09-17T22:13:33.3810000+05:30","Server?","",""
"557823821156188161","navy.","2020-09-18T06:55:06.9850000+05:30","Joined the server.","",""
"448726198789603328","en1gma07","2020-09-18T10:09:37.5200000+05:30","Aaj raat 10 baje?","","👍 (2)"
"448726198789603328","en1gma07","2020-09-18T10:09:43.2710000+05:30","@everyone","",""
"456226577798135808","Deleted User","2020-09-18T10:10:39.2370000+05:30","tu abhi khel rha h?😂","",""
"448726198789603328","en1gma07","2020-09-18T10:10:55.5710000+05:30","Abe pta nhi mere mein kyu dikha rha hai","",""
"448726198789603328","en1gma07","2020-09-18T10:11:16.0640000+05:30","Ab dikha rha hai?","",""
"456226577798135808","Deleted User","2020-09-18T10:12:11.9990000+05:30","nahi ab nahi dikha rha","",""
"448726198789603328","en1gma07","2020-09-18T10:12:23.0150000+05:30","Ohk","",""
"594440218044661760","arn4v9056","2020-09-18T11:05:46.7490000+05:30","Joined the server.","",""
"448726198789603328","en1gma07","2020-09-18T11:06:15.0500000+05:30","Leave kar diya tha kya","",""
"448726198789603328","en1gma07","2020-09-18T11:41:06.9560000+05:30","@everyone sablog #memes waale channel ke notifications band kar dena bahut messages aate hai udhar😂","",""
"383995098754711555","GamesROB#3608","2020-09-18T12:11:37.1900000+05:30","Joined the server.","",""
"755431590544408616","pushpa6454","2020-09-18T12:20:22.9620000+05:30","Kaun hai yeh","",""
"555955826880413696","EPIC RPG#4117","2020-09-18T12:20:35.4250000+05:30","Joined the server.","",""
"448726198789603328","en1gma07","2020-09-18T12:20:57.2060000+05:30","@Fatakdi Sender le","",""
"492026929604460552","itzmanan","2020-09-18T12:21:13.1570000+05:30","Haa ab iska kaam smjhna padega","",""
"755431590544408616","pushpa6454","2020-09-18T12:21:44.7230000+05:30","@Thomas","",""
"743528093574234113","thomas_._dp","2020-09-18T12:54:43.9820000+05:30","> @Thomas
@pushpa6454  Divyank","",""
"594440218044661760","arn4v9056","2020-09-18T14:01:09.2090000+05:30","Aaj kab khel rhe phir?","",""
"456226577798135808","Deleted User","2020-09-18T20:41:40.0200000+05:30","10baje??????","",""
"594440218044661760","arn4v9056","2020-09-18T21:17:07.8910000+05:30","Ha","",""
"743528093574234113","thomas_._dp","2020-09-18T21:57:17.3530000+05:30","Hai sab","",""
"743528093574234113","thomas_._dp","2020-09-18T21:57:28.2510000+05:30","Aao sab","",""
"448726198789603328","en1gma07","2020-09-18T21:58:08.7330000+05:30","Bhandu sarthak aur manan ko bulao","",""
"743528093574234113","thomas_._dp","2020-09-18T21:58:22.6800000+05:30","Ya i m calling","",""
"456226577798135808","Deleted User","2020-09-18T21:58:45.9170000+05:30","Aur meko? 😕😂😂","",""
"448726198789603328","en1gma07","2020-09-18T21:58:58.4060000+05:30","Tu hai na already bhai","",""
"456226577798135808","Deleted User","2020-09-18T21:59:41.7200000+05:30","Bhai tatti net chal hi nahi rha","",""
"456226577798135808","Deleted User","2020-09-18T21:59:42.7500000+05:30","To kya hua 😂😂","",""
"755666449959223376","saarthak3402","2020-09-18T22:00:08.0190000+05:30","Chlo join karo voice chat","",""
"456226577798135808","Deleted User","2020-09-18T22:00:13.4800000+05:30","SJ here","",""
"456226577798135808","Deleted User","2020-09-18T22:00:19.1970000+05:30","Manan ko bulana h?","",""
"448726198789603328","en1gma07","2020-09-18T22:00:47.9090000+05:30","Aa rha 2 min mai","",""
"755666449959223376","saarthak3402","2020-09-18T22:01:00.0770000+05:30","Hao","",""
"456226577798135808","Deleted User","2020-09-18T22:01:03.6700000+05:30","Bhandu?","",""
"743528093574234113","thomas_._dp","2020-09-18T22:01:11.2740000+05:30","Will come","",""
"743528093574234113","thomas_._dp","2020-09-18T22:01:13.8570000+05:30","2 min","",""
"448726198789603328","en1gma07","2020-09-18T22:01:18.3090000+05:30","Bulao bhandu aur manan ko","",""
"456226577798135808","Deleted User","2020-09-18T22:01:21.6560000+05:30","Me akshaj se puch rha ruko","",""
"743528093574234113","thomas_._dp","2020-09-18T22:01:34.8480000+05:30","Manan to tha na","",""
"448726198789603328","en1gma07","2020-09-18T22:01:55.0830000+05:30","Aa gya manan","",""
"743528093574234113","thomas_._dp","2020-09-18T22:02:14.0370000+05:30","Join karo","",""
"492026929604460552","itzmanan","2020-09-18T22:02:18.1470000+05:30","!play see you again","",""
"235088799074484224","Rythm#3722","2020-09-18T22:02:18.6330000+05:30","👍 **Joined** `Voice Chat` :page_facing_up: **And bound to** `general`","",""
"235088799074484224","Rythm#3722","2020-09-18T22:02:18.8610000+05:30",":youtube: **Searching** 🔎 `see you again`","",""
"235088799074484224","Rythm#3722","2020-09-18T22:02:19.4480000+05:30","**Playing** 🎶 `Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack` - Now!","",""
"743528093574234113","thomas_._dp","2020-09-18T22:02:50.2160000+05:30","Arnav???","",""
"492026929604460552","itzmanan","2020-09-18T22:03:07.3280000+05:30","!leave voice","",""
"235088799074484224","Rythm#3722","2020-09-18T22:03:07.3800000+05:30","📭 **Successfully disconnected**","",""
"456226577798135808","Deleted User","2020-09-18T22:03:18.9740000+05:30","Ky","",""
"456226577798135808","Deleted User","2020-09-18T22:03:24.1550000+05:30","Kyu?","",""
"456226577798135808","Deleted User","2020-09-18T22:04:04.1310000+05:30","Bhai kaun hag rha h gaake 😂🤣🤣","",""
"743528093574234113","thomas_._dp","2020-09-18T22:04:18.9900000+05:30","😂","",""
"456226577798135808","Deleted User","2020-09-18T22:04:42.3150000+05:30","Bhai Manan accha bajaya agli baar meri baraabari krna 😂🤣","",""
"456226577798135808","Deleted User","2020-09-18T22:04:53.8980000+05:30","Bhai Manan accha bajaya agli baar meri baraabari krna 😂🤣","",""
"456226577798135808","Deleted User","2020-09-18T22:05:29.1140000+05:30","Arnav?","",""
"456226577798135808","Deleted User","2020-09-18T22:05:39.9150000+05:30","Be sanchit arnav?????","",""
"456226577798135808","Deleted User","2020-09-18T22:06:05.0360000+05:30","Bot log","",""
"594440218044661760","arn4v9056","2020-09-18T22:07:19.9770000+05:30","Ek min mai aara","",""
"743528093574234113","thomas_._dp","2020-09-18T22:08:47.2240000+05:30","Ztduwq","",""
"755666449959223376","saarthak3402","2020-09-18T22:09:30.6310000+05:30","ZTDUWQ","",""
"456226577798135808","Deleted User","2020-09-18T23:05:52.0530000+05:30","Bhai me hu","",""
"611562834614026261","akshaj0706","2020-09-18T23:06:07.0890000+05:30","@BoBSy the KiNG NOOB","",""
"456226577798135808","Deleted User","2020-09-18T23:06:23.1020000+05:30","Ohh hello galat time","",""
"611562834614026261","akshaj0706","2020-09-18T23:06:38.6200000+05:30","Nai jaara ghar waaley bula rge","",""
"456226577798135808","Deleted User","2020-09-18T23:09:43.2920000+05:30","scout","",""
"456226577798135808","Deleted User","2020-09-18T23:10:06.3480000+05:30","Akshaj imposter h","",""
"755431590544408616","pushpa6454","2020-09-18T23:10:15.8300000+05:30","Akshaj imposter hai","",""
"448726198789603328","en1gma07","2020-09-18T23:10:16.2900000+05:30","Ha be akshaj imposter hai","",""
"492026929604460552","itzmanan","2020-09-18T23:10:18.6810000+05:30","Akshaj hi imposter hai","",""
"594440218044661760","arn4v9056","2020-09-18T23:10:19.7290000+05:30","Akshaj imposter h","",""
"492026929604460552","itzmanan","2020-09-18T23:10:23.7750000+05:30","Vote daalo bhaiii isko","",""
"557823821156188161","navy.","2020-09-18T23:10:24.5350000+05:30","Byee guys","",""
"492026929604460552","itzmanan","2020-09-18T23:10:25.5220000+05:30","Nikaalo","",""
"755431590544408616","pushpa6454","2020-09-18T23:10:31.5820000+05:30","Bhai bola na akshaj hai imposter","",""
"456226577798135808","Deleted User","2020-09-18T23:10:33.6790000+05:30","100% akshaj imposter h","",""
"594440218044661760","arn4v9056","2020-09-18T23:10:35.3260000+05:30","Akshaj imposter h","",""
"743528093574234113","thomas_._dp","2020-09-18T23:10:38.1240000+05:30","Good morning guys","",""
"448726198789603328","en1gma07","2020-09-18T23:10:38.3660000+05:30","Vote kr be akshaj ko","",""
"456226577798135808","Deleted User","2020-09-18T23:10:42.1540000+05:30","Akshaj hu imposter h","",""
"594440218044661760","arn4v9056","2020-09-18T23:10:50.1930000+05:30","Akshaj hi hai","",""
"743528093574234113","thomas_._dp","2020-09-18T23:10:52.6820000+05:30","Ha ik","",""
"456226577798135808","Deleted User","2020-09-18T23:10:55.8970000+05:30","Abe divyank akshaj imposter h","",""
"755431590544408616","pushpa6454","2020-09-18T23:10:56.1970000+05:30","Ha","",""
"743528093574234113","thomas_._dp","2020-09-18T23:11:07.1860000+05:30","Bye","",""
"755666449959223376","saarthak3402","2020-09-18T23:11:08.8720000+05:30","Bhai Akshaj imposter h usko vote karo","",""
"755666449959223376","saarthak3402","2020-09-18T23:11:09.3960000+05:30","Voi h","",""
"755666449959223376","saarthak3402","2020-09-18T23:11:09.8580000+05:30","Nikalo ussae","",""
"456226577798135808","Deleted User","2020-09-18T23:11:20.0680000+05:30","Akshaj imposter h","",""
"611562834614026261","akshaj0706","2020-09-18T23:33:35.3840000+05:30","Hao","",""
"611562834614026261","akshaj0706","2020-09-18T23:33:43.7570000+05:30","Mein khel hee nai rha","",""
"611562834614026261","akshaj0706","2020-09-18T23:33:50.8260000+05:30","Sab mujhe hee imposter bnadiye","",""
"755431590544408616","pushpa6454","2020-09-19T10:22:32.6190000+05:30","Awwwwwwww","",""
"448726198789603328","en1gma07","2020-09-19T10:22:41.4770000+05:30","Yo","",""
"448726198789603328","en1gma07","2020-09-19T10:22:54.3300000+05:30","@pushpa6454","",""
"755431590544408616","pushpa6454","2020-09-19T12:36:20.9090000+05:30","Yo","",""
"594440218044661760","arn4v9056","2020-09-19T12:36:33.7280000+05:30","Hi","",""
"743528093574234113","thomas_._dp","2020-09-19T12:50:25.5440000+05:30","Aaj kab khelna h","",""
"448726198789603328","en1gma07","2020-09-19T12:51:58.3430000+05:30","Match ke baad?","",""
"456226577798135808","Deleted User","2020-09-19T12:52:42.4830000+05:30","11 baje ko match khatam hoga 🤣","",""
"448726198789603328","en1gma07","2020-09-19T13:09:12.6530000+05:30","Dekhlo tum log","",""
"755666449959223376","saarthak3402","2020-09-19T16:47:39.8770000+05:30","Yaar aaj 9 30 baje khele??","",""
"456226577798135808","Deleted User","2020-09-19T19:05:18.1040000+05:30","biro IPL","",""
"743528093574234113","thomas_._dp","2020-09-19T20:56:55.3330000+05:30","> biro IPL
@Deleted User  aa jaana na","",""
"456226577798135808","Deleted User","2020-09-19T21:28:40.5220000+05:30","To apan khelne wale h?","",""
"743528093574234113","thomas_._dp","2020-09-19T21:32:09.2970000+05:30","Ha","",""
"743528093574234113","thomas_._dp","2020-09-19T21:32:13.1460000+05:30","Ioin karo","",""
"743528093574234113","thomas_._dp","2020-09-19T21:32:18.2800000+05:30","*j","",""
"456226577798135808","Deleted User","2020-09-19T21:32:32.8630000+05:30","Abe call krna  padhega koi nahi h online","",""
"448726198789603328","en1gma07","2020-09-19T21:32:42.4620000+05:30","Baki log ko bulao","",""
"456226577798135808","Deleted User","2020-09-19T21:32:52.4610000+05:30","Manan ko me bulata","",""
"456226577798135808","Deleted User","2020-09-19T21:33:05.9530000+05:30","Baaki sarthak ko bulao bhandu arnav etc","",""
"743528093574234113","thomas_._dp","2020-09-19T21:33:13.5250000+05:30","Bhandu ko mae","",""
"456226577798135808","Deleted User","2020-09-19T21:34:23.0440000+05:30","Manan namokar me h time lagega","",""
"456226577798135808","Deleted User","2020-09-19T21:35:39.1440000+05:30","Manan nahi aaega bol rha h","",""
"456226577798135808","Deleted User","2020-09-19T21:35:57.0870000+05:30","Baaki sabko bulao","",""
"448726198789603328","en1gma07","2020-09-19T21:36:37.0160000+05:30","Abe toh kitne log honge","",""
"456226577798135808","Deleted User","2020-09-19T21:37:04.3590000+05:30","Me u bhandu arnav divyank","",""
"456226577798135808","Deleted User","2020-09-19T21:37:09.5800000+05:30","Sarthak maybe","",""
"743528093574234113","thomas_._dp","2020-09-19T21:37:10.3420000+05:30","Bhavani is coming","",""
"448726198789603328","en1gma07","2020-09-19T21:37:10.9060000+05:30","5","",""
"456226577798135808","Deleted User","2020-09-19T21:37:14.0790000+05:30","6 log","",""
"448726198789603328","en1gma07","2020-09-19T21:37:20.0210000+05:30","Ok","",""
"743528093574234113","thomas_._dp","2020-09-19T21:37:22.5290000+05:30","Navy???","",""
"456226577798135808","Deleted User","2020-09-19T21:38:02.1550000+05:30","Navy ko to Manan hi pooch skta h wo abhi namokar me h","",""
"456226577798135808","Deleted User","2020-09-19T21:38:21.1330000+05:30","Ae sanchit teko idea h namokar kitne der chalta h?","",""
"594440218044661760","arn4v9056","2020-09-19T21:38:48.9790000+05:30","Bhai phir khel rhe ki nhi","",""
"448726198789603328","en1gma07","2020-09-19T21:38:54.4130000+05:30","Pta nhi","",""
"456226577798135808","Deleted User","2020-09-19T21:38:58.1920000+05:30","6 log h","",""
"456226577798135808","Deleted User","2020-09-19T21:39:04.9890000+05:30","1 imposter khel skte h","",""
"456226577798135808","Deleted User","2020-09-19T21:39:12.5940000+05:30","Sanchit idea h?????","",""
"456226577798135808","Deleted User","2020-09-19T21:39:18.2680000+05:30","> Ae sanchit teko idea h namokar kitne der chalta h?
@Deleted User ??????","",""
"448726198789603328","en1gma07","2020-09-19T21:39:37.0730000+05:30","Nhi pta","",""
"456226577798135808","Deleted User","2020-09-19T21:39:41.8520000+05:30","Okz","",""
"743528093574234113","thomas_._dp","2020-09-19T21:40:11.1260000+05:30","Akshaj  nahi aa rha h kya","",""
"594440218044661760","arn4v9056","2020-09-19T21:40:20.0000000+05:30","Nhi khel rhe phir?","",""
"456226577798135808","Deleted User","2020-09-19T21:40:21.1370000+05:30","Akshaj dinner kar rha h","",""
"456226577798135808","Deleted User","2020-09-19T21:40:34.2720000+05:30","> Nhi khel rhe phir?
@Tab tak ke liye...Ok Bye ruko zara sabar karo","",""
"743528093574234113","thomas_._dp","2020-09-19T21:40:46.3650000+05:30","Sarthak bhi aa rha h","",""
"594440218044661760","arn4v9056","2020-09-19T21:40:46.7940000+05:30","Abhi tk sirf 4 log hai","",""
"594440218044661760","arn4v9056","2020-09-19T21:40:51.8420000+05:30","Bhandu nhi aaya hai","",""
"456226577798135808","Deleted User","2020-09-19T21:40:57.3490000+05:30","Aaayega","",""
"743528093574234113","thomas_._dp","2020-09-19T21:41:00.1020000+05:30","Coming","",""
"594440218044661760","arn4v9056","2020-09-19T21:41:06.1010000+05:30","@Saarthak  aane wala na?","",""
"594440218044661760","arn4v9056","2020-09-19T21:41:07.6860000+05:30","Ok","",""
"743528093574234113","thomas_._dp","2020-09-19T21:41:36.0320000+05:30","> @Saarthak  aane wala na?
@Tab tak ke liye...Ok Bye  Aa rha h","",""
"743528093574234113","thomas_._dp","2020-09-19T21:41:45.6920000+05:30","Aagaya h","",""
"594440218044661760","arn4v9056","2020-09-19T21:41:48.3860000+05:30","Aa gya","",""
"755666449959223376","saarthak3402","2020-09-19T21:41:50.5450000+05:30","Mai 2 min mae join kar rha","",""
"743528093574234113","thomas_._dp","2020-09-19T21:41:52.5490000+05:30","😂","",""
"456226577798135808","Deleted User","2020-09-19T21:41:52.9280000+05:30","Abe Manan btayega","",""
"448726198789603328","en1gma07","2020-09-19T21:42:02.0750000+05:30","Bhai second innings chalu ho hai hai yaar","",""
"448726198789603328","en1gma07","2020-09-19T21:42:06.8170000+05:30","Gayi*","",""
"594440218044661760","arn4v9056","2020-09-19T21:42:09.8310000+05:30","Ha","",""
"755666449959223376","saarthak3402","2020-09-19T21:42:17.3250000+05:30","Toh kheloge na?","",""
"456226577798135808","Deleted User","2020-09-19T21:42:18.4680000+05:30","Arey chodna csk hargyi","",""
"456226577798135808","Deleted User","2020-09-19T21:42:26.9950000+05:30","Khelte h","",""
"448726198789603328","en1gma07","2020-09-19T21:42:27.6460000+05:30","Itne mein hi time waste kar diya tumlog ne","",""
"456226577798135808","Deleted User","2020-09-19T21:42:28.7420000+05:30","😂😂😂","",""
